"Result","U:0","U:1","U:2","T","T_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,0,6.45996e+00,6.45996e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.49818e+00,6.49818e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.53641e+00,6.53641e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.57463e+00,6.57463e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.61286e+00,6.61286e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.65108e+00,6.65108e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.68931e+00,6.68931e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.72753e+00,6.72753e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.76575e+00,6.76575e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.80398e+00,6.80398e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.84220e+00,6.84220e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.88043e+00,6.88043e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.91865e+00,6.91865e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.95688e+00,6.95688e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.99510e+00,6.99510e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,7.03333e+00,7.03333e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,7.07155e+00,7.07155e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,7.10978e+00,7.10978e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,7.14800e+00,7.14800e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,7.18622e+00,7.18622e+00,9.55615e-01,0.00000e+00
-3.42263e+01,4.49554e-03,-2.88079e-06,1.16575e-23,1.36708e-15,1.36708e-15,1,7.22445e+00,7.22445e+00,9.55615e-01,0.00000e+00
-3.40545e+01,1.61394e-02,-5.58740e-06,-1.54203e-24,1.62350e-15,1.62350e-15,1,7.26267e+00,7.26267e+00,9.55615e-01,0.00000e+00
-3.39583e+01,3.09684e-02,-9.32563e-06,-8.56784e-25,1.78692e-15,1.78692e-15,1,7.30090e+00,7.30090e+00,9.55615e-01,0.00000e+00
-3.39111e+01,4.72465e-02,-1.20088e-05,9.36951e-26,1.87326e-15,1.87326e-15,1,7.33912e+00,7.33912e+00,9.55615e-01,0.00000e+00
-3.38992e+01,6.32608e-02,-9.95050e-06,6.81469e-26,1.89563e-15,1.89563e-15,1,7.37735e+00,7.37735e+00,9.55615e-01,0.00000e+00
-3.39137e+01,7.81448e-02,-1.06953e-05,-1.30184e-25,1.86835e-15,1.86835e-15,1,7.41557e+00,7.41557e+00,9.55615e-01,0.00000e+00
-3.39494e+01,9.12085e-02,-8.02092e-06,1.64978e-25,1.80289e-15,1.80289e-15,1,7.45380e+00,7.45380e+00,9.55615e-01,0.00000e+00
