"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.69867e+01,5.72412e-08,5.72412e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,3.93713e+00,3.93713e+00,9.55614e-01,0.00000e+00
-1.71517e+01,5.33745e-08,5.33745e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,3.97535e+00,3.97535e+00,9.55614e-01,0.00000e+00
-1.73168e+01,4.95078e-08,4.95078e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.01358e+00,4.01358e+00,9.55614e-01,0.00000e+00
-1.74819e+01,4.56411e-08,4.56411e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.05180e+00,4.05180e+00,9.55614e-01,0.00000e+00
-1.76469e+01,4.17743e-08,4.17743e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.09003e+00,4.09003e+00,9.55614e-01,0.00000e+00
-1.78120e+01,3.79076e-08,3.79076e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.12825e+00,4.12825e+00,9.55614e-01,0.00000e+00
-1.79771e+01,3.40408e-08,3.40408e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.16648e+00,4.16648e+00,9.55614e-01,0.00000e+00
-1.81421e+01,3.01741e-08,3.01741e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.20470e+00,4.20470e+00,9.55614e-01,0.00000e+00
-1.83072e+01,2.63074e-08,2.63074e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.24293e+00,4.24293e+00,9.55614e-01,0.00000e+00
-1.84723e+01,2.24407e-08,2.24407e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.28115e+00,4.28115e+00,9.55614e-01,0.00000e+00
-1.86373e+01,1.85740e-08,1.85740e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.31938e+00,4.31938e+00,9.55614e-01,0.00000e+00
-1.88024e+01,1.47072e-08,1.47072e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.35760e+00,4.35760e+00,9.55614e-01,0.00000e+00
-1.89675e+01,1.08405e-08,1.08405e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,4.39582e+00,4.39582e+00,9.55614e-01,0.00000e+00
-1.91325e+01,6.97375e-09,6.97375e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.43405e+00,4.43405e+00,9.55614e-01,0.00000e+00
-1.92977e+01,4.31365e-09,4.31365e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.47227e+00,4.47227e+00,9.55614e-01,0.00000e+00
-1.94630e+01,4.06667e-09,4.06667e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.51050e+00,4.51050e+00,9.55614e-01,0.00000e+00
-1.96282e+01,3.81970e-09,3.81970e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.54872e+00,4.54872e+00,9.55614e-01,0.00000e+00
-1.97935e+01,3.57272e-09,3.57272e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.58695e+00,4.58695e+00,9.55614e-01,0.00000e+00
-1.99588e+01,3.32575e-09,3.32575e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.62517e+00,4.62517e+00,9.55614e-01,0.00000e+00
-2.01241e+01,3.07877e-09,3.07877e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.66340e+00,4.66340e+00,9.55614e-01,0.00000e+00
-2.02894e+01,2.83179e-09,2.83179e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.70162e+00,4.70162e+00,9.55614e-01,0.00000e+00
-2.04546e+01,2.58482e-09,2.58482e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.73985e+00,4.73985e+00,9.55614e-01,0.00000e+00
-2.06199e+01,2.33784e-09,2.33784e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.77807e+00,4.77807e+00,9.55614e-01,0.00000e+00
-2.07852e+01,2.09086e-09,2.09086e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.81629e+00,4.81629e+00,9.55614e-01,0.00000e+00
-2.09505e+01,1.84389e-09,1.84389e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.85452e+00,4.85452e+00,9.55614e-01,0.00000e+00
-2.11158e+01,1.59691e-09,1.59691e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.89274e+00,4.89274e+00,9.55614e-01,0.00000e+00
-2.12811e+01,1.34994e-09,1.34994e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.93097e+00,4.93097e+00,9.55614e-01,0.00000e+00
