Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
218	-3.16997e-06	0.426988	3.16997e-06	0.426988	4.15011	3	0.174723	1
219	-3.15558e-06	0.42505	3.15558e-06	0.42505	4.15011	3	0.174723	1
220	-3.14128e-06	0.423124	3.14128e-06	0.423124	4.15011	3	0.174723	1
221	-3.12716e-06	0.421222	3.12716e-06	0.421222	4.15011	3	0.174723	1
222	-3.11317e-06	0.419338	3.11317e-06	0.419338	4.15011	3	0.174723	1
223	-3.09924e-06	0.417462	3.09924e-06	0.417462	4.15011	3	0.174723	1
224	-3.08537e-06	0.415593	3.08537e-06	0.415593	4.15011	3	0.174723	1
225	-3.07156e-06	0.413732	3.07156e-06	0.413732	4.15011	3	0.174723	1
226	-3.05779e-06	0.411878	3.05779e-06	0.411878	4.15011	3	0.174723	1
227	-3.04428e-06	0.410058	3.04428e-06	0.410058	4.15011	3	0.174723	1
228	-3.03099e-06	0.408268	3.03099e-06	0.408268	4.15011	3	0.174723	1
229	-3.01777e-06	0.406487	3.01777e-06	0.406487	4.15011	3	0.174723	1
230	-3.00459e-06	0.404712	3.00459e-06	0.404712	4.15011	3	0.174723	1
231	-2.99151e-06	0.402949	2.99151e-06	0.402949	4.15011	3	0.174723	1
232	-2.97861e-06	0.401212	2.97861e-06	0.401212	4.15011	3	0.174723	1
233	-2.96577e-06	0.399483	2.96577e-06	0.399483	4.15011	3	0.174723	1
234	-2.95299e-06	0.397762	2.95299e-06	0.397762	4.15011	3	0.174723	1
235	-2.94033e-06	0.396057	2.94033e-06	0.396057	4.15011	3	0.174723	1
236	-2.92789e-06	0.39438	2.92789e-06	0.39438	4.15011	3	0.174723	1
237	-2.91556e-06	0.39272	2.91556e-06	0.39272	4.15011	3	0.174723	1
238	-2.90343e-06	0.391086	2.90343e-06	0.391086	4.15011	3	0.174723	1
239	-2.89135e-06	0.389459	2.89135e-06	0.389459	4.15011	3	0.174723	1
240	-2.87934e-06	0.387841	2.87934e-06	0.387841	4.15011	3	0.174723	1
241	-2.86738e-06	0.38623	2.86738e-06	0.38623	4.15011	3	0.174723	1
242	-2.85548e-06	0.384627	2.85548e-06	0.384627	4.15011	3	0.174723	1
243	-2.84363e-06	0.383031	2.84363e-06	0.383031	4.15011	3	0.174723	1
244	-2.83183e-06	0.381442	2.83183e-06	0.381442	4.15011	3	0.174723	1
245	-2.82009e-06	0.37986	2.82009e-06	0.37986	4.15011	3	0.174723	1
246	-2.80839e-06	0.378285	2.80839e-06	0.378285	4.15011	3	0.174723	1
247	-2.79684e-06	0.376728	2.79684e-06	0.376728	4.15011	3	0.174723	1
248	-2.78542e-06	0.37519	2.78542e-06	0.37519	4.15011	3	0.174723	1
249	-2.77421e-06	0.37368	2.77421e-06	0.37368	4.15011	3	0.174723	1
250	-2.7631e-06	0.372184	2.7631e-06	0.372184	4.15011	3	0.174723	1
251	-2.75205e-06	0.370695	2.75205e-06	0.370695	4.15011	3	0.174723	1
252	-2.74104e-06	0.369212	2.74104e-06	0.369212	4.15011	3	0.174723	1
253	-2.73023e-06	0.367756	2.73023e-06	0.367756	4.15011	3	0.174723	1
254	-2.71953e-06	0.366315	2.71953e-06	0.366315	4.15011	3	0.174723	1
255	-2.70889e-06	0.364882	2.70889e-06	0.364882	4.15011	3	0.174723	1
256	-2.6983e-06	0.363455	2.6983e-06	0.363455	4.15011	3	0.174723	1
257	-2.68776e-06	0.362035	2.68776e-06	0.362035	4.15011	3	0.174723	1
258	-2.67726e-06	0.360622	2.67726e-06	0.360622	4.15011	3	0.174723	1
259	-2.66682e-06	0.359215	2.66682e-06	0.359215	4.15011	3	0.174723	1
260	-2.65648e-06	0.357822	2.65648e-06	0.357822	4.15011	3	0.174723	1
261	-2.64647e-06	0.356473	2.64647e-06	0.356473	4.15011	3	0.174723	1
262	-2.6365e-06	0.355131	2.6365e-06	0.355131	4.15011	3	0.174723	1
263	-2.62658e-06	0.353795	2.62658e-06	0.353795	4.15011	3	0.174723	1
264	-2.61672e-06	0.352466	2.61672e-06	0.352466	4.15011	3	0.174723	1
265	-2.6069e-06	0.351144	2.6069e-06	0.351144	4.15011	3	0.174723	1
266	-2.59713e-06	0.349828	2.59713e-06	0.349828	4.15011	3	0.174723	1
