"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.14741,-0.14711,0.025858,1,0.235,0.235,0.5,0
-0.13696,-0.13667,0.024943,1,0.236,0.236,0.5,0
-0.12652,-0.12624,0.024028,1,0.237,0.237,0.5,0
-0.11608,-0.11581,0.023114,1,0.238,0.238,0.5,0
-0.10563,-0.10537,0.022199,1,0.239,0.239,0.5,0
-0.095189,-0.094938,0.021285,1,0.24,0.24,0.5,0
-0.084477,-0.084237,0.020355,1,0.241,0.241,0.5,0
-0.073766,-0.073536,0.019425,1,0.242,0.242,0.5,0
-0.063054,-0.062834,0.018496,1,0.243,0.243,0.5,0
-0.052342,-0.052133,0.017566,1,0.244,0.244,0.5,0
-0.041631,-0.041431,0.016637,1,0.245,0.245,0.5,0
-0.030919,-0.03073,0.015707,1,0.246,0.246,0.5,0
-0.020207,-0.020029,0.014777,1,0.247,0.247,0.5,0
-0.0094956,-0.0093273,0.013848,1,0.248,0.248,0.5,0
0.0012161,0.0013741,0.012918,1,0.249,0.249,0.5,0
0.011928,0.012076,0.011989,1,0.25,0.25,0.5,0
0.022623,0.02276,0.011053,1,0.251,0.251,0.5,0
0.033318,0.033444,0.010117,1,0.252,0.252,0.5,0
0.044013,0.044128,0.0091817,1,0.253,0.253,0.5,0
0.054708,0.054813,0.0082461,1,0.254,0.254,0.5,0
0.065403,0.065497,0.0073105,1,0.255,0.255,0.5,0
0.076098,0.076181,0.0063749,1,0.256,0.256,0.5,0
0.086792,0.086866,0.0054393,1,0.257,0.257,0.5,0
0.097487,0.09755,0.0045037,1,0.258,0.258,0.5,0
0.10818,0.10823,0.0035681,1,0.259,0.259,0.5,0
0.11888,0.11892,0.0026325,1,0.26,0.26,0.5,0
0.12927,0.1293,0.0017001,1,0.261,0.261,0.5,0
