"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.92689,0.92592,-0.023335,1,0.4,0.5,0.4,0
0.92793,0.92696,-0.023403,1,0.401,0.5,0.401,0
0.92898,0.92801,-0.02347,1,0.402,0.5,0.402,0
0.93002,0.92905,-0.023537,1,0.403,0.5,0.403,0
0.93107,0.9301,-0.023605,1,0.404,0.5,0.404,0
0.93211,0.93114,-0.023672,1,0.405,0.5,0.405,0
0.93316,0.93219,-0.023739,1,0.406,0.5,0.406,0
0.9342,0.93323,-0.023807,1,0.407,0.5,0.407,0
0.93525,0.93428,-0.023874,1,0.408,0.5,0.408,0
0.93629,0.93532,-0.023942,1,0.409,0.5,0.409,0
0.93734,0.93637,-0.024009,1,0.41,0.5,0.41,0
0.93816,0.93719,-0.024069,1,0.411,0.5,0.411,0
0.93899,0.93802,-0.024128,1,0.412,0.5,0.412,0
0.93981,0.93884,-0.024188,1,0.413,0.5,0.413,0
0.94063,0.93966,-0.024248,1,0.414,0.5,0.414,0
0.94146,0.94048,-0.024307,1,0.415,0.5,0.415,0
0.94228,0.94131,-0.024367,1,0.416,0.5,0.416,0
0.9431,0.94213,-0.024427,1,0.417,0.5,0.417,0
0.94392,0.94295,-0.024486,1,0.418,0.5,0.418,0
0.94475,0.94378,-0.024546,1,0.419,0.5,0.419,0
